 Oscillator Strength For States      1 :      2 f=    0.000000
 Oscillator Strength For States      1 :      3 f=    0.000000
 Oscillator Strength For States      1 :      4 f=    0.000000
 Oscillator Strength For States      1 :      5 f=    0.000000
 Oscillator Strength For States      1 :      6 f=    0.000000
 Oscillator Strength For States      1 :      7 f=    0.000000
 Oscillator Strength For States      1 :      8 f=    0.000000
 Oscillator Strength For States      1 :      9 f=    0.000000
 Oscillator Strength For States      1 :     10 f=    0.000000
 Oscillator Strength For States      1 :     11 f=    0.000000
 Oscillator Strength For States      1 :     12 f=    0.000000
 Oscillator Strength For States      1 :     13 f=    0.000000
 Oscillator Strength For States      1 :     14 f=    0.000000
 Oscillator Strength For States      1 :     15 f=    0.000001
 Oscillator Strength For States      1 :     16 f=    0.000005
 Oscillator Strength For States      1 :     17 f=    0.000001
 Oscillator Strength For States      1 :     18 f=    0.000003
 Oscillator Strength For States      1 :     19 f=    0.000000
 Oscillator Strength For States      1 :     20 f=    0.000001
 Oscillator Strength For States      1 :     21 f=    0.000000
 Oscillator Strength For States      1 :     22 f=    0.000002
 Oscillator Strength For States      1 :     23 f=    0.000000
 Oscillator Strength For States      1 :     24 f=    0.000000
 Oscillator Strength For States      1 :     25 f=    0.000000
 Oscillator Strength For States      1 :     26 f=    0.000000
 Oscillator Strength For States      1 :     27 f=    0.000000
 Oscillator Strength For States      1 :     28 f=    0.000000
 Oscillator Strength For States      1 :     29 f=    0.000000
 Oscillator Strength For States      1 :     30 f=    0.000001
 Oscillator Strength For States      1 :     31 f=    0.000000
 Oscillator Strength For States      1 :     32 f=    0.000000
 Oscillator Strength For States      1 :     33 f=    0.000000
 Oscillator Strength For States      1 :     34 f=    0.000000
 Oscillator Strength For States      1 :     35 f=    0.000000
 Oscillator Strength For States      1 :     36 f=    0.000000
 Oscillator Strength For States      1 :     37 f=    0.000000
 Oscillator Strength For States      1 :     38 f=    0.000000
 Oscillator Strength For States      1 :     39 f=    0.000000
 Oscillator Strength For States      1 :     40 f=    0.000000
 Oscillator Strength For States      1 :     41 f=    0.000000
 Oscillator Strength For States      1 :     42 f=    0.000000
 Oscillator Strength For States      1 :     43 f=    0.000000
 Oscillator Strength For States      1 :     44 f=    0.000001
 Oscillator Strength For States      1 :     45 f=    0.000001
 Oscillator Strength For States      1 :     46 f=    0.000000
 Oscillator Strength For States      1 :     47 f=    0.000001
 Oscillator Strength For States      1 :     48 f=    0.000001
 Oscillator Strength For States      1 :     49 f=    0.000002
 Oscillator Strength For States      1 :     50 f=    0.000001
 Oscillator Strength For States      1 :     51 f=    0.000002
 Oscillator Strength For States      1 :     52 f=    0.000001
 Oscillator Strength For States      1 :     53 f=    0.000002
 Oscillator Strength For States      1 :     54 f=    0.000001
 Oscillator Strength For States      1 :     55 f=    0.000000
 Oscillator Strength For States      1 :     56 f=    0.000001
 Oscillator Strength For States      1 :     57 f=    0.000001
 Oscillator Strength For States      1 :     58 f=    0.000000
 Oscillator Strength For States      1 :     59 f=    0.000000
 Oscillator Strength For States      1 :     60 f=    0.000000
 Oscillator Strength For States      1 :     61 f=    0.000000
 Oscillator Strength For States      1 :     62 f=    0.000000
 Oscillator Strength For States      1 :     63 f=    0.000001
 Oscillator Strength For States      1 :     64 f=    0.000001
 Oscillator Strength For States      1 :     65 f=    0.000001
 Oscillator Strength For States      1 :     66 f=    0.000000
 Oscillator Strength For States      1 :     67 f=    0.000000
 Oscillator Strength For States      1 :     68 f=    0.000000
 Oscillator Strength For States      1 :     69 f=    0.000000
 Oscillator Strength For States      1 :     70 f=    0.000000
 Oscillator Strength For States      1 :     71 f=    0.000000
 Oscillator Strength For States      1 :     72 f=    0.000000
 Oscillator Strength For States      1 :     73 f=    0.000000
 Oscillator Strength For States      1 :     74 f=    0.000001
 Oscillator Strength For States      1 :     75 f=    0.000000
 Oscillator Strength For States      1 :     76 f=    0.000000
 Oscillator Strength For States      1 :     77 f=    0.000000
 Oscillator Strength For States      1 :     78 f=    0.000001
 Oscillator Strength For States      1 :     79 f=    0.000000
 Oscillator Strength For States      1 :     80 f=    0.000000
 Oscillator Strength For States      1 :     81 f=    0.000001
 Oscillator Strength For States      1 :     82 f=    0.000000
 Oscillator Strength For States      1 :     83 f=    0.000000
 Oscillator Strength For States      1 :     84 f=    0.000000
 Oscillator Strength For States      1 :     85 f=    0.000001
 Oscillator Strength For States      1 :     86 f=    0.000000
 Oscillator Strength For States      1 :     87 f=    0.000000
 Oscillator Strength For States      1 :     88 f=    0.000001
 Oscillator Strength For States      1 :     89 f=    0.000001
 Oscillator Strength For States      1 :     90 f=    0.000001
 Oscillator Strength For States      1 :     91 f=    0.000001
 Oscillator Strength For States      1 :     92 f=    0.000001
 Oscillator Strength For States      1 :     93 f=    0.000002
 Oscillator Strength For States      1 :     94 f=    0.000003
 Oscillator Strength For States      1 :     95 f=    0.000001
 Oscillator Strength For States      1 :     96 f=    0.000003
 Oscillator Strength For States      1 :     97 f=    0.000003
 Oscillator Strength For States      1 :     98 f=    0.000001
 Oscillator Strength For States      1 :     99 f=    0.000002
 Oscillator Strength For States      1 :    100 f=    0.000001
 Oscillator Strength For States      2 :      3 f=    0.000000
 Oscillator Strength For States      2 :      4 f=    0.000000
 Oscillator Strength For States      2 :      5 f=    0.000000
 Oscillator Strength For States      2 :      6 f=    0.000000
 Oscillator Strength For States      2 :      7 f=    0.000000
 Oscillator Strength For States      2 :      8 f=    0.000000
 Oscillator Strength For States      2 :      9 f=    0.000000
 Oscillator Strength For States      2 :     10 f=    0.000000
 Oscillator Strength For States      2 :     11 f=    0.000000
 Oscillator Strength For States      2 :     12 f=    0.000000
 Oscillator Strength For States      2 :     13 f=    0.000000
 Oscillator Strength For States      2 :     14 f=    0.000000
 Oscillator Strength For States      2 :     15 f=    0.000000
 Oscillator Strength For States      2 :     16 f=    0.000000
 Oscillator Strength For States      2 :     17 f=    0.000000
 Oscillator Strength For States      2 :     18 f=    0.000000
 Oscillator Strength For States      2 :     19 f=    0.000000
 Oscillator Strength For States      2 :     20 f=    0.000000
 Oscillator Strength For States      2 :     21 f=    0.000000
 Oscillator Strength For States      2 :     22 f=    0.000000
 Oscillator Strength For States      2 :     23 f=    0.000000
 Oscillator Strength For States      2 :     24 f=    0.000000
 Oscillator Strength For States      2 :     25 f=    0.000000
 Oscillator Strength For States      2 :     26 f=    0.000000
 Oscillator Strength For States      2 :     27 f=    0.000000
 Oscillator Strength For States      2 :     28 f=    0.000000
 Oscillator Strength For States      2 :     29 f=    0.000000
 Oscillator Strength For States      2 :     30 f=    0.000000
 Oscillator Strength For States      2 :     31 f=    0.000000
 Oscillator Strength For States      2 :     32 f=    0.000000
 Oscillator Strength For States      2 :     33 f=    0.000000
 Oscillator Strength For States      2 :     34 f=    0.000000
 Oscillator Strength For States      2 :     35 f=    0.000000
 Oscillator Strength For States      2 :     36 f=    0.000000
 Oscillator Strength For States      2 :     37 f=    0.000000
 Oscillator Strength For States      2 :     38 f=    0.000000
